order_id,name,brand,sale_price,timestamp,status
ORD-00001,Fiona Gallagher,Nike,1215.12,2026-08-21T01:44:40.805961+00:00,COMPLETED
ORD-00002,Bob Jones,Apple,1015.42,2026-08-21T01:50:40.805961+00:00,PROCESSING
ORD-00003,George Clark,Logitech,1207.53,2026-08-22T18:45:40.805961+00:00,CANCELLED
ORD-00004,Evan Wright,Puma,1492.52,2026-08-20T20:54:40.805961+00:00,CANCELLED
ORD-00005,Diana Prince,Apple,1041.44,2026-08-22T04:00:40.805961+00:00,PROCESSING
ORD-00006,George Clark,Adidas,965.45,2026-08-22T12:25:40.805961+00:00,CANCELLED
ORD-00007,George Clark,Asus,207.91,2026-08-21T16:12:40.805961+00:00,SHIPPED
ORD-00008,Ian Malcolm,Puma,694.97,2026-08-23T00:03:40.805961+00:00,PROCESSING
ORD-00009,Fiona Gallagher,Apple,1739.07,2026-08-21T20:34:40.805961+00:00,SHIPPED
ORD-00010,Fiona Gallagher,Apple,1744.5,2026-08-23T00:47:40.805961+00:00,PENDING
ORD-00011,Charlie Brown,Puma,427.04,2026-08-21T06:27:40.805961+00:00,SHIPPED
ORD-00012,George Clark,Bose,901.5,2026-08-20T21:58:40.805961+00:00,PENDING
ORD-00013,Bob Jones,Samsung,812.14,2026-08-21T20:38:40.805961+00:00,SHIPPED
ORD-00014,Bob Jones,Puma,498.85,2026-08-23T03:08:40.805961+00:00,SHIPPED
ORD-00015,Ian Malcolm,Bose,567.12,2026-08-22T06:24:40.805961+00:00,SHIPPED
ORD-00016,Julia Roberts,Asus,1271.37,2026-08-22T07:06:40.805961+00:00,COMPLETED
ORD-00017,Evan Wright,Adidas,973.17,2026-08-22T20:36:40.805961+00:00,SHIPPED
ORD-00018,Alice Smith,Dell,98.58,2026-08-20T23:23:40.805961+00:00,COMPLETED
ORD-00019,Ian Malcolm,Sony,1279.06,2026-08-22T21:32:40.805961+00:00,CANCELLED
ORD-00020,Evan Wright,Bose,522.49,2026-08-21T15:57:40.805961+00:00,SHIPPED
ORD-00021,Fiona Gallagher,Sony,733.29,2026-08-23T05:26:40.805961+00:00,PENDING
ORD-00022,Evan Wright,Dell,752.22,2026-08-21T07:08:40.805961+00:00,PENDING
ORD-00023,Alice Smith,Asus,1360.09,2026-08-23T03:53:40.805961+00:00,PENDING
ORD-00024,Ian Malcolm,Nike,989.88,2026-08-22T20:54:40.805961+00:00,COMPLETED
ORD-00025,Fiona Gallagher,Nike,1231.55,2026-08-22T06:55:40.805961+00:00,PROCESSING
ORD-00026,Charlie Brown,Adidas,669.45,2026-08-23T05:13:40.805961+00:00,SHIPPED
ORD-00027,Evan Wright,Dell,852.5,2026-08-21T08:06:40.805961+00:00,CANCELLED
ORD-00028,Ian Malcolm,Samsung,655.95,2026-08-21T06:05:40.805961+00:00,COMPLETED
ORD-00029,Bob Jones,Puma,1395.95,2026-08-21T12:26:40.805961+00:00,CANCELLED
ORD-00030,Bob Jones,Bose,619.86,2026-08-20T16:14:40.805961+00:00,CANCELLED
ORD-00031,Diana Prince,Sony,936.72,2026-08-22T13:16:40.805961+00:00,PROCESSING
ORD-00032,Diana Prince,Adidas,1183.96,2026-08-20T22:43:40.805961+00:00,CANCELLED
ORD-00033,Charlie Brown,Asus,223.89,2026-08-22T11:29:40.805961+00:00,COMPLETED
ORD-00034,Hannah Abbott,Samsung,1352.03,2026-08-22T18:44:40.805961+00:00,PENDING
ORD-00035,Evan Wright,Apple,151.75,2026-08-21T10:16:40.805961+00:00,PENDING
ORD-00036,Ian Malcolm,Dell,74.76,2026-08-21T05:18:40.805961+00:00,COMPLETED
ORD-00037,Julia Roberts,Bose,370.42,2026-08-20T20:15:40.805961+00:00,PROCESSING
ORD-00038,Ian Malcolm,Bose,1617.24,2026-08-20T22:32:40.805961+00:00,CANCELLED
ORD-00039,Bob Jones,Dell,1710.2,2026-08-22T08:26:40.805961+00:00,PENDING
ORD-00040,Charlie Brown,Asus,145.61,2026-08-20T19:31:40.805961+00:00,PROCESSING
ORD-00041,Alice Smith,Samsung,117.01,2026-08-22T14:16:40.805961+00:00,SHIPPED
ORD-00042,Diana Prince,Nike,1452.46,2026-08-22T04:41:40.805961+00:00,COMPLETED
ORD-00043,Diana Prince,Logitech,667.51,2026-08-23T01:38:40.805961+00:00,COMPLETED
ORD-00044,Ian Malcolm,Adidas,680.3,2026-08-23T09:18:40.805961+00:00,SHIPPED
ORD-00045,Diana Prince,Logitech,680.12,2026-08-21T02:24:40.805961+00:00,CANCELLED
ORD-00046,Diana Prince,Samsung,499.19,2026-08-21T17:53:40.805961+00:00,CANCELLED
ORD-00047,Diana Prince,Adidas,1183.87,2026-08-23T07:20:40.805961+00:00,COMPLETED
ORD-00048,George Clark,Bose,1081.18,2026-08-22T20:01:40.805961+00:00,CANCELLED
ORD-00049,Charlie Brown,Nike,513.99,2026-08-20T18:37:40.805961+00:00,COMPLETED
ORD-00050,Evan Wright,Bose,1327.35,2026-08-22T13:23:40.805961+00:00,SHIPPED
ORD-00051,Diana Prince,Logitech,924.59,2026-08-23T06:07:40.805961+00:00,SHIPPED
ORD-00052,Fiona Gallagher,Apple,1789.11,2026-08-22T10:55:40.805961+00:00,PROCESSING
ORD-00053,Fiona Gallagher,Apple,287.68,2026-08-23T00:35:40.805961+00:00,PENDING
ORD-00054,Fiona Gallagher,Apple,1588.87,2026-08-22T09:13:40.805961+00:00,CANCELLED
ORD-00055,Alice Smith,Samsung,410.11,2026-08-21T20:40:40.805961+00:00,CANCELLED
ORD-00056,Fiona Gallagher,Samsung,758.87,2026-08-22T18:58:40.805961+00:00,CANCELLED
ORD-00057,Ian Malcolm,Sony,134.1,2026-08-22T22:14:40.805961+00:00,PENDING
ORD-00058,Evan Wright,Dell,762.9,2026-08-21T11:58:40.805961+00:00,CANCELLED
ORD-00059,George Clark,Dell,1629.06,2026-08-23T01:03:40.805961+00:00,CANCELLED
ORD-00060,Diana Prince,Sony,805.11,2026-08-23T03:44:40.805961+00:00,PENDING
ORD-00061,Ian Malcolm,Adidas,1385.94,2026-08-23T07:49:40.805961+00:00,COMPLETED
ORD-00062,George Clark,Sony,1307.64,2026-08-21T05:06:40.805961+00:00,PROCESSING
